"137","Clash of the Titans (2010)","$493.2"
"138","Angels & Demons","$485.9"
"139","Toy Story 2","$485.0"
"140","Teenage Mutant Ninja Turtles (2014)","$485.0"
"141","Rio","$484.6"
"142","Bruce Almighty","$484.6"
"143","Shrek","$484.4"
"144","Saving Private Ryan","$481.8"
"145","Rise of the Planet of the Apes","$481.8"
"146","Mr. & Mrs. Smith","$478.2"
"147","Home Alone","$476.7"
"148","Return of the Jedi","$475.1"
"149","Charlie and the Chocolate Factory","$475.0"
"150","Indiana Jones and the Last Crusade","$474.2"
"151","American Sniper","$474.1"
"152","Wreck-It Ralph","$471.2"
"153","Jaws","$470.7"
"154","The LEGO Movie","$468.8"
"155","The Hangover","$467.5"
"156","Star Trek Into Darkness","$467.4"
"157","The Matrix","$463.5"
"158","Pretty Woman","$463.4"
"159","Cars","$462.0"
"160","X-Men: The Last Stand","$459.4"
"161","Lucy","$458.9"
"162","Mission: Impossible","$457.7"
"163","Gladiator","$457.6"
"164","National Treasure: Book of Secrets","$457.4"
"165","The Last Samurai","$456.8"
"166","300","$456.1"
"167","Ocean's Eleven","$450.7"
"168","Thor","$449.3"
"169","Pearl Harbor","$449.2"
"170","Tarzan","$448.2"
"171","Alvin and the Chipmunks: The Squeakquel","$443.1"
"172","The Bourne Ultimatum","$442.8"
"173","Men in Black II","$441.8"
"174","Les Miserables (2012)","$441.8"
"175","The Exorcist","$441.3"
"176","Mrs. Doubtfire","$441.3"
"177","Terminator 3: Rise of the Machines","$433.4"
"178","The Mummy Returns","$433.0"
"179","Die Another Day","$432.0"
"180","Cast Away","$429.6"
"181","The Matrix Revolutions","$427.3"
"182","The Intouchables (U.S.-only)","$426.6"
"183","Django Unchained","$425.4"
"184","Beauty and the Beast","$425.0"
"185","Dances with Wolves","$424.2"
"186","The Chronicles of Narnia: Prince Caspian","$419.7"
"187","The Mummy","$415.9"
"188","The Chronicles of Narnia: The Voyage of the Dawn Treader","$415.7"
"189","Sex and the City","$415.3"
"190","The Wolverine","$414.8"
"191","The King's Speech","$414.2"
"192","Night at the Museum: Battle of the Smithsonian","$413.1"
"193","Batman","$411.3"
"194","The Bodyguard","$411.0"
"195","Pacific Rim","$411.0"
"196","Signs","$408.2"
"197","X2: X-Men United","$407.7"
"198","Prometheus","$403.4"
"199","The Mummy: Tomb of the Dragon Emperor","$401.1"
"200","Gone with the Wind","$400.2"
"201","Tron Legacy","$400.1"
"202","Mission: Impossible III","$397.9"
"203","Snow White and the Huntsman","$396.6"
"204","Grease","$395.0"
"205","Twilight","$392.6"
"206","The Wolf of Wall Street","$392.0"
"207","Superman Returns","$391.1"
"208","Robin Hood: Prince of Thieves","$390.5"
"209","Raiders of the Lost Ark","$389.9"
"210","Star Trek","$385.7"
"211","Happy Feet","$384.3"
"212","Live Free or Die Hard","$383.5"
"213","Ice Age","$383.3"
"214","Monsters Vs. Aliens","$381.5"
"215","Back to the Future","$381.1"
"216","Godzilla","$379.0"
"217","True Lies","$378.9"
"218","Slumdog Millionaire","$377.9"
"219","Taken 2","$376.1"
"220","G.I. Joe: Retaliation","$375.7"
"221","Batman Begins","$374.2"
"222","What Women Want","$374.1"
"223","The Adventures of Tintin","$374.0"
"224","X-Men Origins: Wolverine","$373.1"
"225","The Golden Compass","$372.2"
"226","Terminator Salvation","$371.4"
"227","Captain America: The First Avenger","$370.6"
"228","There's Something About Mary","$369.9"
"229","Edge of Tomorrow","$369.2"
"230","The Fugitive","$368.9"
"231","Jurassic Park III","$368.8"
"232","My Big Fat Greek Wedding","$368.7"
"233","Hitch","$368.1"
"234","Gone Girl","$368.1"
"235","Shark Tale","$367.3"
"236","Die Hard: With A Vengeance","$366.1"
"237","Notting Hill","$363.9"
"238","A Bug's Life","$363.4"
"239","Fast and Furious","$363.2"
"240","Penguins of Madagascar","$363.0"
"241","Ocean's Twelve","$362.7"
"242","Noah","$362.6"
"243","Planet of the Apes (2001)","$362.2"
"244","The Hangover Part III","$362.0"
"245","Toy Story","$362.0"
"246","The World Is Not Enough","$361.8"
"247","Alvin and the Chipmunks","$361.3"
"248","The Karate Kid","$359.1"
"249","Home Alone 2: Lost in New York","$359.0"
"250","Hotel Transylvania","$358.4"
"251","Minority Report","$358.4"
"252","Top Gun","$356.8"
"253","American Beauty","$356.3"
"254","Apollo 13","$355.2"
"255","Rain Man","$354.8"
"256","X-Men: First Class","$353.6"
"257","Basic Instinct","$352.9"
"258","GoldenEye","$352.2"
"259","Catch Me If You Can","$352.1"
"260","Now You See Me","$351.7"
"261","Hannibal","$351.7"
"262","The Mask","$351.6"
"263","The Great Gatsby (2013)","$351.0"
"264","Speed","$350.4"
"265","Dinosaur","$349.8"
"266","Deep Impact","$349.5"
"267","Dr. Seuss' The Lorax","$348.8"
"268","The Smurfs 2","$347.5"
"269","National Treasure","$347.5"
"270","Rush Hour 2","$347.3"
"271","I, Robot","$347.2"
"272","Pocahontas","$346.1"
"273","How the Grinch Stole Christmas","$345.1"
"274","Night at the Museum: Secret of the Tomb","$342.9"
"275","Alvin and the Chipmunks: Chipwrecked","$342.7"
"276","The Flintstones","$341.6"
"277","Wanted","$341.4"
"278","The Maze Runner","$340.8"
"279","Enchanted","$340.5"
"280","300: Rise of An Empire","$337.6"
"281","Batman Forever","$336.5"
"282","Prince of Persia: The Sands of Time","$336.4"
"283","Over the Hedge","$336.0"
"284","Journey 2: The Mysterious Island","$335.3"
"285","The Rock","$335.1"
"286","The Curious Case of Benjamin Button","$333.9"
"287","Indiana Jones and the Temple of Doom","$333.1"
"288","Tomorrow Never Dies","$333.0"
"289","Back to the Future Part II","$332.0"
"290","22 Jump Street","$331.3"
"291","Fantastic Four (2005)","$330.6"
"292","Meet the Parents","$330.4"
"293","Who Framed Roger Rabbit","$329.8"
"294","Black Swan","$329.4"
"295","The Perfect Storm","$328.7"
"296","Crocodile Dundee","$328.2"
"297","Seven","$327.3"
"298","The Devil Wears Prada","$326.6"
"299","The Hunchback of Notre Dame","$325.3"
"300","A Christmas Carol (2009)","$325.3"
"301","Megamind","$321.9"
"302","Lethal Weapon 3","$321.7"
"303","Robin Hood","$321.7"
"304","Inglourious Basterds","$321.5"
"305","Schindler's List","$321.3"
"306","101 Dalmatians (1996)","$320.7"
"307","Fatal Attraction","$320.1"
"308","The Last Airbender","$319.7"
"309","The Conjuring","$318.0"
"310","The Proposal","$317.4"
"311","Beverly Hills Cop","$316.4"
"312","Air Force One","$315.2"
"313","Chicken Little","$314.4"
"314","As Good as It Gets","$314.2"
"315","A Beautiful Mind","$313.5"
"316","Austin Powers: The Spy Who Shagged Me","$312.0"
"317","Ocean's Thirteen","$311.3"
"318","Little Fockers","$310.7"
"319","Bolt","$310.0"
"320","Ransom","$309.5"
"321","Runaway Bride","$309.5"
"322","The Blind Side","$309.2"
"323","The Polar Express","$307.5"
"324","The Pursuit of Happyness","$307.1"
"325","Rise of the Guardians","$306.9"
"326","Chicago","$306.8"
"327","The Expendables 2","$305.4"
"328","Wrath of the Titans","$305.3"
"329","The Fault in our Stars","$305.2"
"330","A Good Day to Die Hard","$304.7"
"331","Mulan","$304.3"
"332","Close Encounters of the Third Kind","$303.8"
"333","Battleship","$303.0"
"334","Liar Liar","$302.7"
"335","G.I. Joe: The Rise of Cobra","$302.5"
"336","Hook","$300.9"
"337","Rocky IV","$300.5"
"338","Rambo: First Blood Part II","$300.4"
"339","Van Helsing","$300.3"
"340","Superman","$300.2"
"341","Stuart Little","$300.1"
"342","Beverly Hills Cop II","$300.0"
"343","My Best Friend's Wedding","$299.3"
"344","Real Steel","$299.3"
"345","Dr. Seuss' Horton Hears a Who!","$297.1"
"346","Look Who's Talking","$297.0"
"347","Austin Powers in Goldmember","$296.7"
"348","X-Men","$296.3"
"349","Resident Evil: Afterlife","$296.2"
"350","Ghostbusters","$295.2"
"351","Shutter Island","$294.8"
"352","Doctor Dolittle","$294.5"
"353","Salt","$293.5"
"354","G-Force","$292.8"
"355","What Lies Beneath","$291.4"
"356","The Departed","$289.8"
"357","Shakespeare in Love","$289.3"
"358","Fantastic Four: Rise of the Silver Surfer","$289.0"
"359","Coming to America","$288.8"
"360","Divergent","$288.7"
"361","The Bourne Supremacy","$288.5"
"362","Bridesmaids","$288.4"
"363","Sex and the City 2","$288.3"
"364","Casper","$287.9"
"365","Bee Movie","$287.6"
"366","American Pie 2","$287.6"
"367","Taken 3","$287.3"
"368","The Green Mile","$286.8"
"369","Oblivion","$286.2"
"370","Elysium","$286.1"
"371","Lethal Weapon 4","$285.4"
"372","Wedding Crashers","$285.2"
"373","John Carter","$284.1"
"374","Turbo","$282.6"
"375","Bridget Jones's Diary","$281.9"
"376","The Tourist","$278.3"
"377","Scary Movie","$278.0"
"378","XXX","$277.4"
"379","The Bourne Legacy","$276.1"
"380","Scooby-Doo","$275.7"
"381","Lincoln","$275.3"
"382","Spirited Away","$274.9"
"383","Lara Croft: Tomb Raider","$274.7"
"384","The Expendables","$274.5"
"385","Cloudy with a Chance of Meatballs 2","$274.3"
"386","The Nutty Professor (1996)","$274.0"
"387","Jerry Maguire","$273.6"
"388","Bad Boys II","$273.3"
"389","Lilo & Stitch","$273.1"
"390","Mr. Peabody & Sherman","$272.9"
"391","The Silence of the Lambs","$272.7"
"392","Grown Ups","$271.4"
"393","The Firm","$270.2"
"394","We're the Millers","$270.0"
"395","Gran Torino","$270.0"
"396","10,000 B.C.","$269.8"
"397","Epic","$268.4"
"398","Neighbors","$268.2"
"399","Bambi","$267.4"
"400","Exodus: Gods and Kings","$267.3"
"401","The Princess and the Frog","$267.0"
"402","Batman Returns","$266.8"
"403","Something's Gotta Give","$266.7"
"404","Indecent Proposal","$266.6"
"405","American Gangster","$266.5"
"406","Waterworld","$264.2"
"407","The Truman Show","$264.1"
"408","Charlie's Angels","$264.1"
"409","The Fifth Element","$263.9"
"410","The Incredible Hulk","$263.4"
"411","Jumanji","$262.8"
